,2MASS,id,tmag,MASS,RAD,ROT,Activity Flag,Binary Flag
119,05531404+2415329,77892955,10.0860004425049,0.613,0.619,,0,0
120,06105481+1019056,229264027,8.27600002288818,0.478,0.488,,0,0
123,06484939+3708464,16486662,11.1599998474121,0.337,0.352,,0,0
126,07272450+0513329,318686860,7.30800008773804,0.284,0.301,,0,0
128,08085639+3249118,165818533,8.4069995880127,0.708,0.713,3.3708,1,0
132,08552479+7047389,471012682,6.8289999961853,0.798,0.802,,0,0
133,08552479+7047389,341573000,6.74200010299683,0.798,0.802,,0,0
136,09163011+8410598,328815367,9.87100028991699,0.51,0.519,,0,0
137,09173071+7714405,202276997,8.55900001525879,0.749,0.753,,0,0
138,10105871+7508284,142780448,8.41166019439697,0.776,0.78,,0,0
139,10141918+2104297,95339414,8.31400012969971,0.771,0.775,8.05,1,0
140,10282780+4814199,252487584,10.5240001678467,0.339,0.353,,0,0
141,10313075+5705179,297961454,11.4399995803833,0.209,0.229,,1,0
142,10320068+0830379,392833911,9.20100021362305,0.748,0.752,,0,0
144,10562886+0700527,365006789,9.27999973297119,0.102,0.128,,1,0
145,11011965+0300171,281837943,11.6079998016357,0.158,0.181,,0,0
146,11052903+4331357,252803603,6.90500020980835,0.385,0.398,,0,0
147,11111972+4325031,156372121,8.7790002822876,0.571,0.578,,0,0
148,11131005+0014197,425283213,8.63599967956543,0.74,0.744,,0,0
150,12155833+0538250,412130768,8.61499977111816,0.832,0.835,,0,0
151,12155833+0538250,471012633,8.27099990844727,0.832,0.835,,0,0
155,12475664+0945050,390651552,8.82229995727539,0.319,0.334,,0,0
157,12574030+3513306,165916576,8.66699981689453,0.626,0.632,3.17,1,0
158,13013268+6337496,142350124,11.9359998703003,0.341,0.355,,1,0
159,13044662+5554092,155873175,9.03999996185303,0.77,0.774,,0,0
161,13324460+1648397,471012363,9.125,0.348,0.362,,0,0
162,13324460+1648397,95548046,9.125,0.348,0.362,,0,0
163,13400898+4346377,288511747,9.72799968719482,0.322,0.337,,0,0
165,13532757+1256345,72578769,8.14799976348877,0.751,0.755,,0,0
166,14021961+1341229,72599316,8.83403015136719,0.608,0.614,,0,0
167,14023324+4620266,198151136,7.80100011825562,0.617,0.623,,0,0
168,14023312+4620239,198151134,7.7189998626709,0.627,0.632,,0,0
171,15032457+0346574,460361158,10.628999710083,0.313,0.329,,0,0
174,15530635+3445137,376664521,10.1219997406006,0.513,0.522,,0,0
175,16170537+5516094,207436278,8.10799980163574,0.823,0.827,,1,0
176,16240913+4821112,162673762,8.13899993896484,0.378,0.391,,0,0
177,16575357+4722016,115582980,8.42199993133545,0.701,0.706,,0,0
184,18405518+3131521,68340483,9.74300003051758,0.54,0.548,,0,0
185,18424688+5937374,392572237,7.32100009918213,0.243,0.262,,0,0
186,18515118+1634599,298514156,8.40415954589844,0.575,0.582,,0,0
190,19343982+0434572,213459719,7.80538988113403,0.628,0.634,,0,0
194,19555285+5116220,416594571,10.0959997177124,0.471,0.48,,0,0
195,19563401+5909421,165306319,8.58600044250488,0.832,0.836,,0,0
204,21363852+3927206,304966912,8.34899997711182,0.718,0.723,,0,0
205,21363852+3927206,471012706,8.34899997711182,0.718,0.723,,0,0
207,21401277+3703285,372254618,9.6230001449585,0.506,0.515,,0,0
